storename,storecontract,storeid,storeaddress,storecity,storestate,storezip,storecountry,storephone,latlonlocation,latlonlocationdv
Advance Auto Parts,CarQuest,1000251,3484 N GLASSFORD HILL RD,PRESCOTT VALLEY,AZ,86314,USA,9287724744,"34.593707,-112.339953","34.593707,-112.339953"
BUELLTON AUTO PARTS,CarQuest,1000619,613 AVENUE OF FLAGS,BUELLTON,CA,93427,USA,8056883518,"34.613505000005,-120.193725000023","34.613505000005,-120.193725000023"
CLARKESVILLE AUTO PARTS,CarQuest,1000868,279 MONROE ST,CLARKESVILLE,GA,30523,USA,7067542127,"34.6160249782682,-83.5261499745986","34.6160249782682,-83.5261499745986"
HOWELL AUTO PARTS,CarQuest,1001551,221 E MAIN ST,SENATOBIA,MS,38668,USA,6625628264,"34.619585000045,-89.9544649999937","34.619585000045,-89.9544649999937"
PERRYS AUTO PARTS,CarQuest,1001863,113 SO F STREET,LOMPOC,CA,93436,USA,8057366142,"34.6463813781738,-120.461967468262","34.6463813781738,-120.461967468262"
B MAN SERVICES INC,CarQuest,1000567,913A WEST THIRD STREET,PEMBROKE,NC,28372,USA,9105212827,"34.6865009590569,-79.20769595175","34.6865009590569,-79.20769595175"
CARQUEST,CarQuest,1001205,44215 10TH STREET,LANCASTER,CA,93534,USA,6619482880,"34.6867104187165,-118.148054684835","34.6867104187165,-118.148054684835"
CARQUEST,CarQuest,1000715,187 COLUMBIA ST,CHESTER,SC,29706,USA,8033774191,"34.7002247560171,-81.2096997336696","34.7002247560171,-81.2096997336696"
DEHART AUTO PARTS,CarQuest,1001373,322 N. DUNCAN BYPASS,UNION,SC,29379,USA,8644273671,"34.7169650018378,-81.6399950238002","34.7169650018378,-81.6399950238002"
G AND S AUTO PARTS,CarQuest,1001467,410 CITY AVENUE  SOUTH,RIPLEY,MS,38663,USA,6628379292,"34.7216200013744,-88.9512400025956","34.7216200013744,-88.9512400025956"
KITTRELL AUTO PARTS #2,CarQuest,1001654,1604 LIVE OAK STREET,BEAUFORT,NC,28516,USA,2527284044,"34.7258631935053,-76.6444231666461","34.7258631935053,-76.6444231666461"
KITTRELL AUTO PARTS #1,CarQuest,1001653,4106 ARENDELL ST,MOREHEAD CITY,NC,28557,USA,2527266106,"34.72751,-76.76935","34.72751,-76.76935"
CHEROKEE AUTO PARTS,CarQuest,1000856,8430 72 HWY,CHEROKEE,AL,35616,USA,2563596822,"34.7341500001802,-87.8906599999492","34.7341500001802,-87.8906599999492"
TOWNSEND AUTO PARTS,CarQuest,1002089,135 W MAIN STREET,WALLACE,NC,28466,USA,9102852147,"34.734271,-77.997481","34.734271,-77.997481"
ATKINSONS AUTO PARTS,CarQuest,1000521,3605 EVANS MILL ROAD,PAGELAND,SC,29728,USA,8436725154,"34.759153609231,-80.3788641245526","34.759153609231,-80.3788641245526"
