id,make,makefaceted,model,modelfaceted,product,productfaceted,year,yearfaceted,originalequipmentpart,originalequipmentpartfaceted,partnumber,partnumberfaceted,engineliters,enginecc,enginecylinder,engineblock,engineboreinch,engineboremetric,enginestrokeinch,engstrokemetric,engine,enginefaceted,imageprefix,numberofimages,imagesuffix
10000066,Kia,Kia,Optima,Optima,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2014,2014,353202G740,353202G740,HPF-K10002,HPF-K10002,2,1998,4,L,3.39,86,3.39,86,2L 4 Cyl 1998cc L,2L 4 Cyl 1998cc L,,,
10000067,Kia,Kia,Optima,Optima,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2014,2014,353202G740,353202G740,HPF-K10002,HPF-K10002,2.4,2359,4,L,3.46,88,3.82,97,2.4L 4 Cyl 2359cc L,2.4L 4 Cyl 2359cc L,,,
10000068,Kia,Kia,Optima,Optima,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2015,2015,353202G740,353202G740,HPF-K10002,HPF-K10002,2,1998,4,L,3.39,86,3.39,86,2L 4 Cyl 1998cc L,2L 4 Cyl 1998cc L,,,
10000069,Kia,Kia,Optima,Optima,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2015,2015,353202G740,353202G740,HPF-K10002,HPF-K10002,2.4,2359,4,L,3.46,88,3.82,97,2.4L 4 Cyl 2359cc L,2.4L 4 Cyl 2359cc L,,,
10000070,Kia,Kia,Sorento,Sorento,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2013,2013,353202G740,353202G740,HPF-K10002,HPF-K10002,2.4,2359,4,L,3.46,88,3.82,97,2.4L 4 Cyl 2359cc L,2.4L 4 Cyl 2359cc L,,,
10000071,Kia,Kia,Sorento,Sorento,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2014,2014,353202G740,353202G740,HPF-K10002,HPF-K10002,2.4,2359,4,L,3.46,88,3.82,97,2.4L 4 Cyl 2359cc L,2.4L 4 Cyl 2359cc L,,,
10000072,Kia,Kia,Sorento,Sorento,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2015,2015,353202G740,353202G740,HPF-K10002,HPF-K10002,2.4,2359,4,L,3.46,88,3.82,97,2.4L 4 Cyl 2359cc L,2.4L 4 Cyl 2359cc L,,,
10000073,Kia,Kia,Sportage,Sportage,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2013,2013,353202G740,353202G740,HPF-K10002,HPF-K10002,2,1998,4,L,3.39,86,3.39,86,2L 4 Cyl 1998cc L,2L 4 Cyl 1998cc L,,,
10000074,Kia,Kia,Sportage,Sportage,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2014,2014,353202G740,353202G740,HPF-K10002,HPF-K10002,2,1998,4,L,3.39,86,3.39,86,2L 4 Cyl 1998cc L,2L 4 Cyl 1998cc L,,,
10000075,Kia,Kia,Sportage,Sportage,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2014,2014,353202G740,353202G740,HPF-K10002,HPF-K10002,2.4,2359,4,L,3.46,88,3.82,97,2.4L 4 Cyl 2359cc L,2.4L 4 Cyl 2359cc L,,,
10000076,Kia,Kia,Sportage,Sportage,Direct Injection High Pressure Fuel Pump,Direct Injection High Pressure Fuel Pump,2015,2015,353202G740,353202G740,HPF-K10002,HPF-K10002,2,1998,4,L,3.39,86,3.39,86,2L 4 Cyl 1998cc L,2L 4 Cyl 1998cc L,,,
